all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 266.3048704915, 16.3188501584, 11.3260114227, 23.1647315431
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 216.6974057415, 14.7206455613, 9.8514213242, 21.1572426719
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 244.6783301387, 15.6421971008, 10.7742194320, 22.4760968409
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 264.2886934411, 16.2569583084, 11.3450618315, 24.4026629174
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 279.3632319158, 16.7141626149, 11.7300071899, 23.4055473662
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 291.8059610728, 17.0823289124, 11.9978941221, 23.5645667428
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 300.9956006394, 17.3492247850, 12.2574646363, 23.9822727196
all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 470.1878342797, 21.6838150306, 14.8786935167, 29.5405893179
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 1260.4696852307, 35.5030940233, 27.5031281561, 50.4671928020
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 315.8158015433, 17.7712070930, 12.3952300774, 33.6043733015
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 246.2650901596, 15.6928356316, 10.8871568415, 21.3021060615
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 317.9755578578, 17.8318691633, 12.5105934787, 23.5671483671
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 368.8268259195, 19.2048646421, 13.5292765945, 25.9105597252
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 311.7740449675, 17.6571244818, 12.4467759521, 22.3921556503
