all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 241.7426940336, 15.5480768596, 10.6824077317, 22.8455176830
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 199.8639724310, 14.1373255049, 9.3876136658, 22.1163042973
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 218.1977738722, 14.7715190103, 10.1069212136, 22.6277039624
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 236.1427256390, 15.3669361175, 10.6267777980, 23.0688477998
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 254.9204580877, 15.9662286745, 11.0767571695, 23.6753178484
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 264.9576543942, 16.2775199092, 11.2930053088, 22.6264572732
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 276.3735797774, 16.6244873538, 11.6033712347, 22.9584749169
all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 435.8498295098, 20.8770167771, 14.0658957432, 27.5519172046
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 1220.3757711650, 34.9338771276, 26.6229833863, 51.5451913070
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 263.0381622612, 16.2184512905, 11.1916148796, 22.6491066865
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 213.0077337667, 14.5947844714, 10.1505225112, 19.5130080482
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 283.7578440263, 16.8451133575, 11.6273176192, 23.0277324532
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 350.0994349531, 18.7109442561, 13.1143939842, 26.3730549630
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 284.8200308867, 16.8766119493, 11.6885420787, 22.2034097695
