all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 215.3407950529, 14.6744947120, 9.6502579996, 21.4035211922
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 199.7823755341, 14.1344393428, 9.1395880272, 20.7898093727
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 205.3644425221, 14.3305422969, 9.3763067600, 21.5067172071
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 213.2116134936, 14.6017674784, 9.6214487576, 21.7857928072
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 221.0993717585, 14.8694106056, 9.8134403555, 21.7763224552
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 225.4793944305, 15.0159713116, 9.9315208510, 21.1417703694
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 227.1075725786, 15.0700886719, 10.0192432462, 21.4207149419
all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 421.5275122816, 20.5311351922, 13.3011097368, 25.4768333787
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 1286.7735469840, 35.8716259317, 27.6584166615, 48.9977053882
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 248.3932928096, 15.7604978605, 10.4863394754, 20.5833989448
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 189.7541866148, 13.7751292776, 9.0766036256, 16.8076868423
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 258.1143076306, 16.0659362513, 10.5940542438, 21.6261295121
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 303.9607030881, 17.4344688215, 11.6659217601, 24.6442985492
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 242.1690365624, 15.5617812786, 10.3253226542, 20.2017810358
