epoch, 0, time used, 43, seconds, train loss, 0.370179, validation loss:, 0.287574
epoch, 1, time used, 47, seconds, train loss, 0.267454, validation loss:, 0.271960
epoch, 2, time used, 48, seconds, train loss, 0.267799, validation loss:, 0.271072
epoch, 3, time used, 43, seconds, train loss, 0.259700, validation loss:, 0.266439
epoch, 4, time used, 42, seconds, train loss, 0.249601, validation loss:, 0.267384
epoch, 5, time used, 42, seconds, train loss, 0.257558, validation loss:, 0.259986
epoch, 6, time used, 42, seconds, train loss, 0.244649, validation loss:, 0.254680
epoch, 7, time used, 42, seconds, train loss, 0.242103, validation loss:, 0.248032
epoch, 8, time used, 42, seconds, train loss, 0.241849, validation loss:, 0.249812
epoch, 9, time used, 45, seconds, train loss, 0.238655, validation loss:, 0.257433
epoch, 10, time used, 44, seconds, train loss, 0.242689, validation loss:, 0.261871
epoch, 11, time used, 41, seconds, train loss, 0.238727, validation loss:, 0.246091
epoch, 12, time used, 42, seconds, train loss, 0.237857, validation loss:, 0.252327
epoch, 13, time used, 41, seconds, train loss, 0.235871, validation loss:, 0.244434
epoch, 14, time used, 42, seconds, train loss, 0.233209, validation loss:, 0.257666
epoch, 15, time used, 41, seconds, train loss, 0.235402, validation loss:, 0.257285
epoch, 16, time used, 42, seconds, train loss, 0.237620, validation loss:, 0.248075
epoch, 17, time used, 41, seconds, train loss, 0.234498, validation loss:, 0.258803
epoch, 18, time used, 42, seconds, train loss, 0.234354, validation loss:, 0.254249
epoch, 19, time used, 50, seconds, train loss, 0.233892, validation loss:, 0.249005
epoch, 20, time used, 48, seconds, train loss, 0.227087, validation loss:, 0.235376
epoch, 21, time used, 48, seconds, train loss, 0.225595, validation loss:, 0.233973
epoch, 22, time used, 48, seconds, train loss, 0.220075, validation loss:, 0.230617
epoch, 23, time used, 48, seconds, train loss, 0.217228, validation loss:, 0.232410
epoch, 24, time used, 48, seconds, train loss, 0.212890, validation loss:, 0.237914
epoch, 25, time used, 48, seconds, train loss, 0.213024, validation loss:, 0.228491
epoch, 26, time used, 48, seconds, train loss, 0.206942, validation loss:, 0.224961
epoch, 27, time used, 48, seconds, train loss, 0.204574, validation loss:, 0.213540
epoch, 28, time used, 48, seconds, train loss, 0.207060, validation loss:, 0.231676
epoch, 29, time used, 48, seconds, train loss, 0.201701, validation loss:, 0.219984
epoch, 30, time used, 48, seconds, train loss, 0.200361, validation loss:, 0.213352
epoch, 31, time used, 48, seconds, train loss, 0.201720, validation loss:, 0.211233
epoch, 32, time used, 48, seconds, train loss, 0.203021, validation loss:, 0.215370
epoch, 33, time used, 48, seconds, train loss, 0.197348, validation loss:, 0.211895
epoch, 34, time used, 48, seconds, train loss, 0.196787, validation loss:, 0.204757
epoch, 35, time used, 48, seconds, train loss, 0.191318, validation loss:, 0.212567
epoch, 36, time used, 48, seconds, train loss, 0.193127, validation loss:, 0.211912
epoch, 37, time used, 48, seconds, train loss, 0.191675, validation loss:, 0.201359
epoch, 38, time used, 48, seconds, train loss, 0.191413, validation loss:, 0.202646
epoch, 39, time used, 48, seconds, train loss, 0.193021, validation loss:, 0.203649
epoch, 40, time used, 48, seconds, train loss, 0.187734, validation loss:, 0.201069
epoch, 41, time used, 48, seconds, train loss, 0.185046, validation loss:, 0.196443
epoch, 42, time used, 48, seconds, train loss, 0.189696, validation loss:, 0.196403
epoch, 43, time used, 48, seconds, train loss, 0.186491, validation loss:, 0.198666
epoch, 44, time used, 49, seconds, train loss, 0.181005, validation loss:, 0.192264
epoch, 45, time used, 48, seconds, train loss, 0.183053, validation loss:, 0.201246
epoch, 46, time used, 48, seconds, train loss, 0.183711, validation loss:, 0.198627
epoch, 47, time used, 48, seconds, train loss, 0.186051, validation loss:, 0.209692
epoch, 48, time used, 48, seconds, train loss, 0.181159, validation loss:, 0.199985
epoch, 49, time used, 48, seconds, train loss, 0.180472, validation loss:, 0.196777
epoch, 50, time used, 48, seconds, train loss, 0.179965, validation loss:, 0.194673
epoch, 51, time used, 48, seconds, train loss, 0.177611, validation loss:, 0.192884
epoch, 52, time used, 48, seconds, train loss, 0.177068, validation loss:, 0.194224
epoch, 53, time used, 48, seconds, train loss, 0.181016, validation loss:, 0.205110
