epoch, 0, time used, 31, seconds, train loss, 0.690170, validation loss:, 0.689820
epoch, 1, time used, 32, seconds, train loss, 0.630501, validation loss:, 0.667314
epoch, 2, time used, 32, seconds, train loss, 0.610696, validation loss:, 0.660955
epoch, 3, time used, 32, seconds, train loss, 0.602829, validation loss:, 0.657042
epoch, 4, time used, 32, seconds, train loss, 0.597974, validation loss:, 0.653779
epoch, 5, time used, 32, seconds, train loss, 0.594198, validation loss:, 0.650697
epoch, 6, time used, 32, seconds, train loss, 0.591135, validation loss:, 0.648130
epoch, 7, time used, 32, seconds, train loss, 0.588863, validation loss:, 0.646245
epoch, 8, time used, 32, seconds, train loss, 0.587153, validation loss:, 0.644827
epoch, 9, time used, 32, seconds, train loss, 0.585747, validation loss:, 0.643674
epoch, 10, time used, 32, seconds, train loss, 0.584492, validation loss:, 0.642663
epoch, 11, time used, 32, seconds, train loss, 0.583283, validation loss:, 0.641723
epoch, 12, time used, 32, seconds, train loss, 0.582044, validation loss:, 0.640804
epoch, 13, time used, 32, seconds, train loss, 0.580722, validation loss:, 0.639901
epoch, 14, time used, 32, seconds, train loss, 0.579335, validation loss:, 0.639068
epoch, 15, time used, 32, seconds, train loss, 0.577980, validation loss:, 0.638352
epoch, 16, time used, 32, seconds, train loss, 0.576732, validation loss:, 0.637694
epoch, 17, time used, 32, seconds, train loss, 0.575540, validation loss:, 0.637016
epoch, 18, time used, 32, seconds, train loss, 0.574199, validation loss:, 0.636130
epoch, 19, time used, 32, seconds, train loss, 0.571902, validation loss:, 0.634436
epoch, 20, time used, 32, seconds, train loss, 0.569342, validation loss:, 0.633152
epoch, 21, time used, 32, seconds, train loss, 0.567772, validation loss:, 0.632097
epoch, 22, time used, 32, seconds, train loss, 0.566439, validation loss:, 0.631158
epoch, 23, time used, 32, seconds, train loss, 0.565232, validation loss:, 0.630294
epoch, 24, time used, 32, seconds, train loss, 0.564160, validation loss:, 0.629544
epoch, 25, time used, 32, seconds, train loss, 0.563237, validation loss:, 0.628904
epoch, 26, time used, 32, seconds, train loss, 0.562427, validation loss:, 0.628342
epoch, 27, time used, 32, seconds, train loss, 0.561697, validation loss:, 0.627839
epoch, 28, time used, 32, seconds, train loss, 0.561028, validation loss:, 0.627372
epoch, 29, time used, 32, seconds, train loss, 0.560399, validation loss:, 0.626935
epoch, 30, time used, 32, seconds, train loss, 0.559806, validation loss:, 0.626527
epoch, 31, time used, 32, seconds, train loss, 0.559245, validation loss:, 0.626140
epoch, 32, time used, 32, seconds, train loss, 0.558697, validation loss:, 0.625779
epoch, 33, time used, 32, seconds, train loss, 0.558162, validation loss:, 0.625442
epoch, 34, time used, 32, seconds, train loss, 0.557636, validation loss:, 0.625132
epoch, 35, time used, 32, seconds, train loss, 0.557111, validation loss:, 0.624843
epoch, 36, time used, 32, seconds, train loss, 0.556586, validation loss:, 0.624577
epoch, 37, time used, 32, seconds, train loss, 0.556062, validation loss:, 0.624330
epoch, 38, time used, 32, seconds, train loss, 0.555546, validation loss:, 0.624098
epoch, 39, time used, 32, seconds, train loss, 0.555033, validation loss:, 0.623876
epoch, 40, time used, 32, seconds, train loss, 0.554529, validation loss:, 0.623669
epoch, 41, time used, 32, seconds, train loss, 0.554037, validation loss:, 0.623464
epoch, 42, time used, 32, seconds, train loss, 0.553550, validation loss:, 0.623265
epoch, 43, time used, 32, seconds, train loss, 0.553070, validation loss:, 0.623077
epoch, 44, time used, 32, seconds, train loss, 0.552593, validation loss:, 0.622912
epoch, 45, time used, 32, seconds, train loss, 0.552121, validation loss:, 0.622761
epoch, 46, time used, 32, seconds, train loss, 0.551650, validation loss:, 0.622647
epoch, 47, time used, 32, seconds, train loss, 0.551181, validation loss:, 0.622560
epoch, 48, time used, 32, seconds, train loss, 0.550715, validation loss:, 0.622509
epoch, 49, time used, 32, seconds, train loss, 0.550252, validation loss:, 0.622479
epoch, 50, time used, 32, seconds, train loss, 0.549792, validation loss:, 0.622485
epoch, 51, time used, 32, seconds, train loss, 0.549342, validation loss:, 0.622528
epoch, 52, time used, 32, seconds, train loss, 0.548887, validation loss:, 0.622614
epoch, 53, time used, 32, seconds, train loss, 0.548428, validation loss:, 0.622744
epoch, 54, time used, 32, seconds, train loss, 0.547960, validation loss:, 0.622930
epoch, 55, time used, 32, seconds, train loss, 0.547487, validation loss:, 0.623140
epoch, 56, time used, 32, seconds, train loss, 0.547009, validation loss:, 0.623383
epoch, 57, time used, 32, seconds, train loss, 0.546513, validation loss:, 0.623638
epoch, 58, time used, 32, seconds, train loss, 0.546009, validation loss:, 0.623901
