experiment_city pemsbay
model_name MMGCRN
memory_type local
mem_num 10
mem_dim 32
meta_type yes
decoder_type stepwise
go_type random
ycov_type time
separate loss lamb 0.01
compact loss lamb1 0.0
batch_size 64
rnn_units 32
num_layers 1
channnel_in 1
channnel_out 1
feature_time True
feature_history False
pemsbay training started Wed Feb  2 03:06:56 2022
TRAIN XS.shape YS.shape, XCov.shape, YCov.shape (41669, 12, 325, 1) (41669, 12, 325, 1) (41669, 12, 325, 1) (41669, 12, 325, 1)
Model Training Started ... Wed Feb  2 03:06:59 2022
TIMESTEP_IN, TIMESTEP_OUT 12 12
Trainable parameter list: 
 
 In total: 52073 trainable parameters. 
 
XS_torch.shape:   torch.Size([41669, 12, 325, 1])
YS_torch.shape:   torch.Size([41669, 12, 325, 1])
YCov_torch.shape:   torch.Size([41669, 12, 325, 1])
epoch 0 time used: 59  seconds  train loss: 0.3036159835375735 0.29048933532299476 1.3126648367203269 0.17727115055442969 validation loss: 0.2889997548575501 0.27761209888727384 1.1387656534855506 0.14316270053729968
epoch 1 time used: 59  seconds  train loss: 0.256424901566202 0.2503367113539039 0.6088190422957896 0.10026539262880746 validation loss: 0.27328960051987855 0.26777526342633085 0.5514337984527867 0.08038784472000396
epoch 2 time used: 59  seconds  train loss: 0.23381174404952662 0.2308086622680077 0.3003081918927548 0.05462066290375955 validation loss: 0.23921025011607658 0.23836165479493246 0.08485958127765834 0.04863404569424007
epoch 3 time used: 60  seconds  train loss: 0.2188963632554519 0.21738448365174082 0.1511879512922684 0.044266979752728655 validation loss: 0.22529125060291844 0.2241978349818861 0.1093414703448049 0.05494537408039743
epoch 4 time used: 62  seconds  train loss: 0.2087945933238661 0.20763377423673557 0.11608193735630383 0.04373767765783473 validation loss: 0.21500756497871948 0.2143572717075454 0.06502926923201578 0.048086950107393396
epoch 5 time used: 60  seconds  train loss: 0.20073180049412603 0.20024393281306269 0.04878676590446875 0.04116921200592212 validation loss: 0.21022777319709682 0.20984158504029843 0.038618834737533116 0.04787903069809042
epoch 6 time used: 60  seconds  train loss: 0.1959671767895456 0.19551280385115222 0.04543731704035501 0.042254272514869406 validation loss: 0.20458334463529246 0.20420017444279584 0.03831710381210594 0.04746174147214192
epoch 7 time used: 60  seconds  train loss: 0.1922076481526786 0.19172621471046158 0.048143383843014025 0.04239529790750128 validation loss: 0.19859961986564634 0.19821741250156785 0.03822074381551992 0.0471793984263752
epoch 8 time used: 60  seconds  train loss: 0.18919020310264986 0.18863210878608258 0.05580944200457614 0.043129037493902185 validation loss: 0.19781720737253872 0.19743338140308067 0.038382528461680394 0.04845483547026879
epoch 9 time used: 60  seconds  train loss: 0.1863813772258102 0.1856591909788692 0.07221862074688641 0.043080715629110214 validation loss: 0.19498709538180212 0.19461410616382022 0.03729893727005272 0.04812255920261219
epoch 10 time used: 60  seconds  train loss: 0.18383523543016372 0.18310143305453636 0.07338020492935665 0.0411643285478005 validation loss: 0.19174815385097688 0.1913844616359565 0.03636924401397645 0.043920856891037245
epoch 11 time used: 59  seconds  train loss: 0.18080457498984093 0.1804117527020481 0.03928220672711722 0.03955688773012233 validation loss: 0.1888593116381457 0.18850399473963464 0.03553169971608365 0.04318337103562567
epoch 12 time used: 59  seconds  train loss: 0.17899407493303063 0.17865198975039653 0.03420852269084324 0.04078171845388589 validation loss: 0.1862677480373943 0.1859793493387955 0.02883987656668798 0.04478809625957355
epoch 13 time used: 59  seconds  train loss: 0.17700868313922635 0.17669497986236773 0.03137030292545546 0.04244916552102507 validation loss: 0.18394405787131635 0.18367547070849627 0.026858667707341397 0.04643353878490571
epoch 14 time used: 59  seconds  train loss: 0.17513258217522815 0.17483532977460572 0.029725232791693017 0.0440991033316149 validation loss: 0.18227844583047606 0.18198943978583523 0.02890065224920978 0.04781871449354629
epoch 15 time used: 59  seconds  train loss: 0.17353771158743872 0.17324154567355582 0.029616588527909916 0.04560895184288951 validation loss: 0.18134353572907158 0.1810385349570824 0.0305001789596333 0.04911220513239866
epoch 16 time used: 59  seconds  train loss: 0.17189530202126804 0.17160524881955233 0.029005342612509963 0.047219587114163956 validation loss: 0.18060463806515945 0.18029968417933495 0.030495348259346067 0.05064324886722422
epoch 17 time used: 59  seconds  train loss: 0.1704496971670246 0.17016543077771898 0.028426653587321167 0.04902317377805579 validation loss: 0.17985548051837585 0.1795429032625633 0.03125766627197303 0.05265135522863874
epoch 18 time used: 59  seconds  train loss: 0.1688560507672538 0.16857744485009063 0.027860591311500222 0.051089175133769225 validation loss: 0.17817803644635075 0.17783517327984227 0.03428626571256109 0.05496402864356397
epoch 19 time used: 60  seconds  train loss: 0.1677477121434889 0.16746720883686728 0.028050301519176066 0.053033283705559 validation loss: 0.1757479636150579 0.17537564375071454 0.03723192632621711 0.05718655328154221
epoch 20 time used: 59  seconds  train loss: 0.1667719376116615 0.1664951317735707 0.027680589792635893 0.05553523400329458 validation loss: 0.17422158147350889 0.17385158116699845 0.037000049750219956 0.06041409784703045
epoch 21 time used: 59  seconds  train loss: 0.16550183368543314 0.16522830939201358 0.027352419170769145 0.05799594473663883 validation loss: 0.17300725747582826 0.1726386681139 0.0368589197783764 0.06345514953994641
epoch 22 time used: 59  seconds  train loss: 0.1642720488094721 0.16399222642706437 0.027982242701516922 0.0600201247156778 validation loss: 0.17192351801492908 0.1715293491120118 0.03941685975278767 0.0652099418981127
epoch 23 time used: 59  seconds  train loss: 0.16248734546963226 0.16218628006375757 0.03010653144589539 0.06251774710315436 validation loss: 0.17108940325261168 0.17067511881191916 0.04142846332290484 0.06780558657190762
epoch 24 time used: 59  seconds  train loss: 0.16253558098697687 0.16219793875598018 0.03376418022312187 0.0636438533185572 validation loss: 0.16884101327400697 0.16836921039115538 0.04718018039119841 0.06875851623074614
epoch 25 time used: 59  seconds  train loss: 0.15981706517594763 0.15944031978284534 0.03767452668521228 0.06676169710332917 validation loss: 0.16696604034177034 0.16652879599509712 0.04372434151575418 0.07179797126810206
epoch 26 time used: 59  seconds  train loss: 0.15766314612808818 0.1572585813231149 0.04045646890907973 0.06911845342657165 validation loss: 0.16562302847996993 0.16515814137220794 0.04648868251004771 0.07430534504166628
epoch 27 time used: 59  seconds  train loss: 0.15636058305147515 0.1559195308626777 0.044105230996132845 0.0717537372233576 validation loss: 0.16449056100904838 0.16400324307377817 0.04873176873943173 0.07729285022282834
epoch 28 time used: 59  seconds  train loss: 0.15471353726895773 0.15424170269540424 0.04718343971222557 0.07419356733021079 validation loss: 0.16294736578062186 0.16246246530058106 0.04849001827184379 0.0797158690978662
epoch 29 time used: 60  seconds  train loss: 0.15390334630561803 0.15333638382330742 0.056696240638356675 0.07676503970704102 validation loss: 0.16063876869148017 0.160137504190464 0.05012640226428535 0.08200895163806483
epoch 30 time used: 59  seconds  train loss: 0.151870537181837 0.15128487718674224 0.058565994521712315 0.07921125921520374 validation loss: 0.15863727293171978 0.15810738177532013 0.05298913847873183 0.08502794719229827
epoch 31 time used: 59  seconds  train loss: 0.15005686542226662 0.1494465360006198 0.0610329693611415 0.08190978610672535 validation loss: 0.1565726046588284 0.15601362393556434 0.055898068247823895 0.0876132791468909
epoch 32 time used: 59  seconds  train loss: 0.14866422494230724 0.14802496114145972 0.06392638865271834 0.0844310477801031 validation loss: 0.15587422372421073 0.15529234008497048 0.0581883412440225 0.09045544053009683
epoch 33 time used: 59  seconds  train loss: 0.14724740071556297 0.14658827990931073 0.06591209498261169 0.08710512999430896 validation loss: 0.15436789755012006 0.15376723623934851 0.0600661032021984 0.0932573544576315
epoch 34 time used: 59  seconds  train loss: 0.14613307549593152 0.14548125255176542 0.06518230452414273 0.08961782361198374 validation loss: 0.1535904618903757 0.15296629023176622 0.062417170064683655 0.09577349363830685
epoch 35 time used: 59  seconds  train loss: 0.14485575852080876 0.14423848246145038 0.061727601982289396 0.09174099021963673 validation loss: 0.15244547864552718 0.15186232882810202 0.05831496040916965 0.09828482237572084
epoch 36 time used: 59  seconds  train loss: 0.14369010892433579 0.14311162644830694 0.057848273857904864 0.09387475124310479 validation loss: 0.15114493778786794 0.1505932095676037 0.055172826798715345 0.10059405468228362
epoch 37 time used: 59  seconds  train loss: 0.1425078414490899 0.14196996212790317 0.053787909095644036 0.09572132492434894 validation loss: 0.14962588852805309 0.1491380435568194 0.048784521345981005 0.10248712414936773
