epoch, 0, time used, 33, seconds, train loss, 0.592132, validation loss:, 0.572136
epoch, 1, time used, 32, seconds, train loss, 0.552041, validation loss:, 0.563795
epoch, 2, time used, 32, seconds, train loss, 0.552244, validation loss:, 0.572702
epoch, 3, time used, 32, seconds, train loss, 0.546533, validation loss:, 0.553588
epoch, 4, time used, 32, seconds, train loss, 0.539050, validation loss:, 0.552239
epoch, 5, time used, 33, seconds, train loss, 0.534696, validation loss:, 0.545060
epoch, 6, time used, 33, seconds, train loss, 0.531963, validation loss:, 0.543746
epoch, 7, time used, 33, seconds, train loss, 0.530202, validation loss:, 0.541459
epoch, 8, time used, 33, seconds, train loss, 0.528225, validation loss:, 0.540377
epoch, 9, time used, 33, seconds, train loss, 0.527128, validation loss:, 0.539744
epoch, 10, time used, 33, seconds, train loss, 0.526177, validation loss:, 0.538785
epoch, 11, time used, 33, seconds, train loss, 0.524747, validation loss:, 0.536954
epoch, 12, time used, 33, seconds, train loss, 0.523011, validation loss:, 0.535261
epoch, 13, time used, 33, seconds, train loss, 0.521485, validation loss:, 0.534283
epoch, 14, time used, 33, seconds, train loss, 0.520298, validation loss:, 0.533864
epoch, 15, time used, 32, seconds, train loss, 0.519398, validation loss:, 0.533416
epoch, 16, time used, 33, seconds, train loss, 0.518684, validation loss:, 0.532825
epoch, 17, time used, 33, seconds, train loss, 0.517962, validation loss:, 0.531480
epoch, 18, time used, 33, seconds, train loss, 0.516779, validation loss:, 0.529813
epoch, 19, time used, 33, seconds, train loss, 0.516571, validation loss:, 0.531030
epoch, 20, time used, 33, seconds, train loss, 0.516458, validation loss:, 0.528911
epoch, 21, time used, 33, seconds, train loss, 0.514615, validation loss:, 0.527732
epoch, 22, time used, 33, seconds, train loss, 0.513685, validation loss:, 0.527255
epoch, 23, time used, 33, seconds, train loss, 0.513153, validation loss:, 0.526676
epoch, 24, time used, 32, seconds, train loss, 0.512090, validation loss:, 0.525652
epoch, 25, time used, 33, seconds, train loss, 0.511222, validation loss:, 0.525095
epoch, 26, time used, 33, seconds, train loss, 0.510646, validation loss:, 0.524935
epoch, 27, time used, 33, seconds, train loss, 0.510054, validation loss:, 0.524387
epoch, 28, time used, 33, seconds, train loss, 0.509268, validation loss:, 0.523706
epoch, 29, time used, 32, seconds, train loss, 0.508556, validation loss:, 0.523258
epoch, 30, time used, 33, seconds, train loss, 0.507927, validation loss:, 0.522869
epoch, 31, time used, 33, seconds, train loss, 0.507320, validation loss:, 0.522402
epoch, 32, time used, 33, seconds, train loss, 0.506720, validation loss:, 0.521898
epoch, 33, time used, 33, seconds, train loss, 0.506131, validation loss:, 0.521364
epoch, 34, time used, 33, seconds, train loss, 0.505568, validation loss:, 0.520851
epoch, 35, time used, 33, seconds, train loss, 0.505010, validation loss:, 0.520289
epoch, 36, time used, 33, seconds, train loss, 0.504419, validation loss:, 0.519597
epoch, 37, time used, 33, seconds, train loss, 0.503792, validation loss:, 0.518846
epoch, 38, time used, 33, seconds, train loss, 0.503246, validation loss:, 0.518296
epoch, 39, time used, 33, seconds, train loss, 0.502738, validation loss:, 0.517805
epoch, 40, time used, 33, seconds, train loss, 0.502253, validation loss:, 0.517357
epoch, 41, time used, 33, seconds, train loss, 0.501803, validation loss:, 0.516955
epoch, 42, time used, 33, seconds, train loss, 0.501379, validation loss:, 0.516584
epoch, 43, time used, 33, seconds, train loss, 0.500977, validation loss:, 0.516238
epoch, 44, time used, 33, seconds, train loss, 0.500602, validation loss:, 0.515906
epoch, 45, time used, 33, seconds, train loss, 0.500241, validation loss:, 0.515595
epoch, 46, time used, 32, seconds, train loss, 0.499897, validation loss:, 0.515297
epoch, 47, time used, 33, seconds, train loss, 0.499569, validation loss:, 0.515009
epoch, 48, time used, 33, seconds, train loss, 0.499255, validation loss:, 0.514729
epoch, 49, time used, 33, seconds, train loss, 0.498955, validation loss:, 0.514456
epoch, 50, time used, 32, seconds, train loss, 0.498653, validation loss:, 0.514197
epoch, 51, time used, 33, seconds, train loss, 0.498334, validation loss:, 0.513927
epoch, 52, time used, 33, seconds, train loss, 0.498005, validation loss:, 0.513659
epoch, 53, time used, 33, seconds, train loss, 0.497686, validation loss:, 0.513399
epoch, 54, time used, 33, seconds, train loss, 0.497384, validation loss:, 0.513150
epoch, 55, time used, 33, seconds, train loss, 0.497098, validation loss:, 0.512910
epoch, 56, time used, 33, seconds, train loss, 0.496823, validation loss:, 0.512675
epoch, 57, time used, 33, seconds, train loss, 0.496560, validation loss:, 0.512443
epoch, 58, time used, 32, seconds, train loss, 0.496306, validation loss:, 0.512219
epoch, 59, time used, 33, seconds, train loss, 0.496064, validation loss:, 0.511998
epoch, 60, time used, 33, seconds, train loss, 0.495822, validation loss:, 0.511784
epoch, 61, time used, 33, seconds, train loss, 0.495579, validation loss:, 0.511568
epoch, 62, time used, 33, seconds, train loss, 0.495343, validation loss:, 0.511367
epoch, 63, time used, 33, seconds, train loss, 0.495111, validation loss:, 0.511179
epoch, 64, time used, 33, seconds, train loss, 0.494886, validation loss:, 0.511005
