all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 113.5479828630, 10.6558895857, 6.6086536776, 16.2570531583
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 89.0067023207, 9.4343363477, 5.9265704691, 14.7393618965
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 104.7361630597, 10.2340687441, 6.3832214345, 15.8731355075
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 113.9537417480, 10.6749117911, 6.6283689096, 16.5273128851
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 120.1232238630, 10.9600740811, 6.7888747341, 16.6834769498
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 124.7847305231, 11.1707085954, 6.9126360504, 16.7841518786
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 128.6833356634, 11.3438677559, 7.0122504677, 16.9348798321
all pred steps, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 503.7538181847, 22.4444607461, 14.1961923572, 48.1183598078
1 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 484.6204923602, 22.0140975822, 13.5706629573, 55.3759696419
2 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 493.0416280394, 22.2045407077, 14.1169356922, 49.8089001460
3 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 508.4358065689, 22.5485211615, 14.3837623781, 48.1651202676
4 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 511.5194975380, 22.6167968010, 14.4045337218, 46.4183116945
5 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 513.0923844490, 22.6515426505, 14.3807891563, 45.1151238780
6 step, GraphWaveNet, test, MSE, RMSE, MAE, MAPE, 511.8131001531, 22.6232866788, 14.3204702378, 43.8267332187
